,ESP_A01,ESP_A02,ESP_A03,ESP_B,ESP_C10-12,ESP_C13-15,ESP_C16,ESP_C17,ESP_C18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31-32,ESP_C33,ESP_D35,ESP_E36,ESP_E37-39,ESP_F,ESP_G45,ESP_G46,ESP_G47,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58,ESP_J59-60,ESP_J61,ESP_J62-63,ESP_K64,ESP_K65,ESP_K66,ESP_L68,ESP_M69_70,ESP_M71,ESP_M72,ESP_M73,ESP_M74-75,ESP_N,ESP_O84,ESP_P85,ESP_Q,ESP_R-S,,
ESP_J59-60,"0,005168007","0,000854522","5,49E-06","0,016429258","0,495683577","0,021642235","0,025996538","0,024031512","0,021576663","0,013935548","0,076895237","0,038543942","0,03118565","0,038769533","0,054447895","0,0606757","0,029712983","0,021366934","0,115148952","0,026529191","0,020140447","0,034776664","0,028949052","0,067878353","0,003326697","0,022355982","0,05826379","0,088745092","0,509140378","0,210403748","0,050158291","0,000218782","0,029570741","0,055757897","0,034186525","0,038338724","0,090475352","0,319264125","0,178262704","0,113693629","0,359699761","0,119683705","0,026056241","0,044514872","0,164769547","0,044108283","0,008742589","0,918115726","0,019393086","0,172831267","0,080002986","0,025705926","0,056656595","0,128863554",0,0
ESP_J61,"0,017042145","0,001614032","0,000338849","0,017432726","0,184700758","0,023645936","0,021452202","0,022262613","0,016035102","0,00790197","0,063729553","0,057600493","0,027866207","0,029664182","0,03967027","0,054065283","0,028987219","0,020651484","0,159312372","0,07934249","0,015947712","0,025586912","0,028405569","0,059260958","0,003133844","0,024481215","0,159279658","0,078145993","0,394227682","0,184230467","0,043358759","0,000335015","0,012201606","0,103333039","0,019692646","0,065916147","0,05378712","0,116207012","1,466353672","0,282346695","0,30160938","0,127973271","0,032327101","0,077436116","0,231967871","0,114301083","0,01490395","0,241514789","0,017127541","0,129133765","0,164682392","0,04696068","0,173859259","0,116027562",0,0
ESP_J62-63,"0,008908791","0,003672352","0,000187226","0,050773741","0,344844321","0,072620244","0,044923132","0,118421396","0,033906767","0,017501702","0,164480617","0,156855262","0,091622301","0,126036116","0,112082142","0,227400749","0,337684228","0,174490893","0,258305719","0,208898134","0,079450666","0,137671602","0,122935105","0,393172109","0,01330121","0,076149702","0,175944698","0,329276619","1,185319112","0,414243166","0,085808205","4,43E-05","0,024487046","0,159611602","0,018318306","0,108488499","0,111263574","0,09007846","0,311549724","9,166781971","0,954755423","0,955808026","0,144364206","0,138835913","1,38371098","0,253498736","0,082692595","0,221960096","0,043590457","0,348181048","0,25894904","0,179782796","0,604950011","0,335890159",0,0
ESP_K64,"0,009838501","0,001095125","8,28E-05","0,003532694","0,034285893","0,013295371","0,009688787","0,009473593","0,002943488","0,005239904","0,037680736","0,042206902","0,011556571","0,010668395","0,01727496","0,019049158","0,012240585","0,012861699","0,041411885","0,033437517","0,005657116","0,010520761","0,010009825","0,018224754","0,001303365","0,009084798","0,0498091","0,019189984","0,068931394","0,042664987","0,01505279","9,78E-05","0,003421743","0,010682743","0,002059011","0,029489177","0,004597657","0,002701016","0,007721608","0,024328979","0,161752628","0,040075476","0,044598402","0,111584148","0,058320459","0,009649673","0,00478235","0,007611357","0,004449005","0,027457374","0,063544205","0,020256009","0,074347338","0,021377652",0,0
ESP_K65,"0,002645458","0,000239594","6,38E-05","0,001897652","0,01770994","0,004161925","0,004152932","0,003958435","0,001357318","0,000984224","0,011297374","0,011850394","0,004362433","0,005433639","0,005355042","0,008034993","0,00407017","0,003537587","0,015021891","0,008061853","0,002053037","0,004309661","0,003637946","0,005775739","0,000570467","0,003907081","0,022333102","0,010425831","0,040191696","0,030418745","0,010215914","5,57E-05","0,003295176","0,005978956","0,000593154","0,014017363","0,003506825","0,001684925","0,002915841","0,012478067","0,028934416","0,045800397","0,003430736","0,042512998","0,065466269","0,004381718","0,001998331","0,003077196","0,002280851","0,024698665","0,008304119","0,004581092","0,02925825","0,012117635",0,0
ESP_K66,"0,000328419","1,06E-05","2,70E-06","0,000101121","0,001659992","0,001448151","0,000318838","0,000488562","0,000113716","0,000138515","0,003888907","0,005405733","0,00092558","0,000498736","0,000756914","0,000783185","0,000845096","0,000880337","0,002715233","0,003396063","0,000405789","0,000652847","0,000570218","0,000381028","3,10E-05","0,000344591","0,001802428","0,000857844","0,001489693","0,000898384","0,000282372","1,62E-06","5,13E-05","0,000212411","2,23E-05","0,00064367","0,000108133","7,75E-05","0,000353718","0,004122307","0,01989425","0,04215301","0,050773979","0,000645804","0,001473654","0,000309352","0,000223051","0,000192886","0,000296782","0,000540333","0,000389148","0,000138916","0,008050629","0,000474344",0,0
ESP_L68,"0,00163633","0,000510382","4,09E-05","0,00727725","0,042325017","0,002912155","0,003342556","0,003600913","0,002020856","0,002882104","0,009917943","0,005493623","0,005161905","0,004529681","0,009322428","0,008366605","0,003748915","0,002583366","0,015386713","0,005138213","0,001914568","0,003531322","0,004188077","0,010278531","0,000794639","0,003282134","0,098777934","0,009056092","0,057283789","0,023399239","0,007754251","5,55E-05","0,002584772","0,011824648","0,003687865","0,007809066","0,008012084","0,00786619","0,017778871","0,007841365","0,035903304","0,013666672","0,002329329","0,023994969","0,018330362","0,111656084","0,001399005","0,06355126","0,001705668","0,017066617","0,020410341","0,005298306","0,011196858","0,013925998",0,0
ESP_M69_70,"0,019990543","0,004201538","0,001350473","0,065611031","0,712331124","0,084010451","0,150470922","0,127012976","0,055060178","0,027599531","0,221175793","0,13350276","0,128671832","0,198643571","0,176294712","0,320781608","0,136121146","0,110562211","0,50976297","0,108689494","0,061499128","0,153115183","0,137856353","0,178261077","0,025578047","0,13751213","0,966043827","0,402002787","1,665087304","1,36328175","0,265032509","0,00167793","0,017014993","0,178356152","0,02700422","0,580209927","0,159339484","0,069892628","0,113142868","0,320495824","1,422994973","0,364478392","0,11258115","0,272656277","3,432519681","0,170974477","0,058110691","0,174855391","0,090580512","0,714822252","0,309731614","0,139546489","0,647167398","0,528082139",0,0
ESP_M71,"0,034126944","0,014401942","0,000847252","0,262011279","0,117521144","0,019175916","0,022307452","0,059464077","0,006030615","0,070769298","0,121074532","0,078420118","0,099814938","0,023298991","0,186877299","0,122519244","0,07979787","0,036831305","0,254377942","0,12428797","0,016718954","0,016925095","0,073941108","0,169757981","0,008107608","0,034250781","2,720638124","0,048908541","0,527462551","0,07044399","0,104982794","0,00108708","0,003561245","0,217120604","0,025628091","0,013811132","0,007743902","0,003357124","0,14132172","0,04428284","0,208486921","0,163741965","0,001729549","0,271332298","0,181878125","4,966940568","0,025271792","0,012021975","0,006194356","0,13283847","0,486924084","0,057763845","0,16278584","0,048753669",0,0
ESP_M72,"0,000246221","2,02E-05","2,49E-06","0,000259986","0,001719513","0,001025398","0,000259335","0,000507557","0,000122738","0,000144462","0,002760702","0,003669662","0,000764809","0,000509965","0,000710708","0,000863313","0,000795862","0,000703618","0,002056709","0,002432531","0,000357545","0,00059256","0,000439985","0,000931268","3,88E-05","0,000335653","0,002703103","0,001038128","0,003092934","0,001147944","0,000377689","2,09E-06","0,000229092","0,000527429","6,16E-05","0,000527904","0,0002693","0,000216804","0,000660205","0,016709827","0,002253612","0,001978849","0,000298417","0,001350043","0,003180431","0,002923278","0,07468663","0,000566039","0,000248136","0,001521861","0,000989214","0,000480664","0,006152257","0,000864528",0,0
ESP_M73,"0,023132115","0,003895121","9,62E-06","0,075190728","2,041779053","0,096937476","0,1193774","0,108545237","0,094498674","0,062232256","0,348094466","0,168060031","0,141645462","0,176738667","0,249144438","0,275897003","0,132912816","0,096502441","0,526739523","0,115198744","0,091425912","0,157827706","0,132696075","0,305841259","0,015166706","0,101905526","0,266518376","0,403401379","2,344674698","0,9648057","0,22973109","0,001008467","0,13297944","0,255864511","0,157836798","0,168533829","0,416720847","0,415620226","0,795718396","0,324307767","1,652100344","0,535252378","0,117597785","0,203227279","0,737979496","0,198157293","0,03818965","3,417816461","0,07794314","0,722085602","0,368043729","0,113187057","0,24045967","0,583086682",0,0
ESP_M74-75,"0,000710181","7,03E-05","3,83E-06","0,000970809","0,02572625","0,002198343","0,001690294","0,001661266","0,001401163","0,000873207","0,007606759","0,005829817","0,002470066","0,00250679","0,003535266","0,003867921","0,003369462","0,002366624","0,008525333","0,004018204","0,00142619","0,002501755","0,002541483","0,003911122","0,00024359","0,001482025","0,008526726","0,005368638","0,029253073","0,012238256","0,002963312","1,33E-05","0,001627479","0,003384052","0,001925841","0,002682438","0,005087369","0,005105052","0,010369919","0,005770456","0,020286911","0,006695109","0,001465408","0,004027236","0,009253328","0,002597175","0,000908455","0,041613619","0,001439843","0,008967467","0,004926673","0,001682029","0,008746764","0,007561649",0,0
ESP_N,"0,074743687","0,007749583","0,001132739","0,038514164","0,545347795","0,065477526","0,06873386","0,096202032","0,045507779","0,024313935","0,287944105","0,152866479","0,087929526","0,110060323","0,107280959","0,171563487","0,148491641","0,059137764","0,362925914","0,162082058","0,049694081","0,091158534","0,081615285","0,263838679","0,010570023","0,086466235","0,361976518","0,244598251","1,134570086","0,501615432","0,342844312","0,003869616","0,625599954","0,333110695","0,034563123","0,307555636","0,128870746","0,136072744","0,201014209","0,252820706","0,852804971","0,414277182","0,072242211","2,874375782","0,812969114","0,113047969","0,052745714","0,289392728","0,025419528","2,546069423","0,661166236","0,318203973","0,711678491","0,396212327",0,0
ESP_O84,"0,013332111","0,00279749","0,000313798","0,028885215","0,171308569","0,020938906","0,073604694","0,067774049","0,013187869","0,021152782","0,072384039","0,031182772","0,039702203","0,072734602","0,08901027","0,066548742","0,018910892","0,032874664","0,095063493","0,039854399","0,010471491","0,022209205","0,018543348","0,151066218","0,00489821","0,076511466","0,496538022","0,044598136","0,4785803","0,117816888","0,478686327","0,006769325","0,439129011","0,464751086","0,006599433","0,054017503","0,023355599","0,007960779","0,035668048","0,152869865","0,077457384","0,040345035","0,008320282","0,190129128","0,145786997","0,151266619","0,006427827","0,016019982","0,005330898","0,083819535","0,319837361","0,031632712","0,082373335","0,045323561",0,0
ESP_P85,"0,001125203","7,96E-05","2,19E-05","0,000962489","0,01021015","0,003747809","0,001770191","0,002025781","0,000565178","0,00044389","0,007870203","0,009327023","0,002272917","0,002193014","0,002979179","0,004006719","0,002889644","0,002095386","0,009401223","0,006415677","0,001285835","0,002194346","0,002120451","0,004769633","0,000293447","0,001881109","0,008735998","0,004161701","0,018578955","0,006233916","0,00585658","6,27E-05","0,004393973","0,003809846","0,000309589","0,009525577","0,000717256","0,000575415","0,001924514","0,027791472","0,007949822","0,009392866","0,000955562","0,001911187","0,011356196","0,002357683","0,087861828","0,001301096","0,000813701","0,035158974","0,006899333","0,008997253","0,019846408","0,004022432",0,0
ESP_Q,"0,00169708","3,00E-05","8,91E-06","0,000294716","0,017419693","0,003966509","0,002090471","0,001417456","0,001147127","0,000338421","0,010653059","0,137636243","0,003118194","0,002358856","0,001889721","0,002236752","0,002580432","0,003076148","0,006489552","0,008555188","0,00219195","0,005263234","0,00195486","0,00136375","9,60E-05","0,000855121","0,008634058","0,002379945","0,008700086","0,002494408","0,000653785","2,39E-06","0,00026294","0,000644089","0,000104258","0,001830593","0,000544134","0,000713266","0,001303222","0,024057282","0,003415805","0,002841581","0,00050384","0,001448389","0,004524694","0,001098709","0,015139485","0,00349561","0,006131653","0,001979775","0,002685557","0,001196896","0,203452241","0,00200463",0,0
ESP_R-S,"0,004694943","0,000389868","6,52E-05","0,002731668","0,049599409","0,01895227","0,006592089","0,006350864","0,004073027","0,002431777","0,038098523","0,036761645","0,010293828","0,007862282","0,010457547","0,01259077","0,013349018","0,010746061","0,036504412","0,028471052","0,005115375","0,024114057","0,009022167","0,01093903","0,001776976","0,005767195","0,037403426","0,015048291","0,104660824","0,081651604","0,012179908","8,09E-05","0,008347396","0,008629292","0,003690443","0,11131798","0,009410742","0,006418892","0,017526141","0,062462007","0,043128874","0,017308474","0,003428095","0,027897094","0,036803922","0,008804283","0,004787657","0,02049313","0,004673328","0,050515027","0,029567421","0,034897829","0,122940467","0,12979976",0,0
ESP_T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP_U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
